hotel_data,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Duki,PK,78.78,scattered clouds,30.1541,68.5728,ماسٹر رشید مرحوم
4,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
13,Carnarvon,AU,74.32,clear sky,-24.8667,113.6333,Hospitality Carnarvon
14,Faanui,PF,77.38,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
15,Atar,MR,83.1,scattered clouds,20.5169,-13.0499,Oumou Elghoura
16,Aitape,PG,84.07,light rain,-3.1374,142.3475,
18,Trairi,BR,77.85,broken clouds,-3.2778,-39.2689,janelas do mar
19,Manama,BH,89.58,clear sky,26.2154,50.5832,Al Safir Hotel
21,San Miguel,SV,78.46,few clouds,13.4833,-88.1833,Excalibur
24,Barhi,IN,80.19,clear sky,23.9,80.8,Happy ka ghar
27,Kalmunai,LK,86.58,overcast clouds,7.4167,81.8167,VS Villa
28,Port Alfred,ZA,72.18,broken clouds,-33.5906,26.891,The Halyards Hotel
29,Harper,LR,75.79,light rain,4.375,-7.7169,Screensaver
32,Wukari,NG,75.49,light rain,7.85,9.7833,Elimtop
33,Sao Felix Do Xingu,BR,74.5,broken clouds,-6.6447,-51.995,Rio Xingu Camping
36,Sao Gabriel Da Cachoeira,BR,73.0,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
37,Buba,GW,74.17,overcast clouds,11.5833,-15.0,Pousada Bela Vista
40,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
41,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
44,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
47,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Butaritari,KI,81.82,broken clouds,3.0707,172.7902,Isles Sunset Lodge
54,Kalengwa,ZM,76.32,broken clouds,-13.4659,25.0027,
55,Marzuq,YE,77.41,clear sky,14.4,46.4667,حيد القفلة
56,Bam,IR,82.92,overcast clouds,29.106,58.357,Bam Tourist Hotel
64,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
74,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
76,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
80,Mahibadhoo,MV,81.66,broken clouds,3.7833,72.9667,Omadhoo Inn
81,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
82,Olinda,BR,78.53,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
85,Miri,MY,82.54,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
86,Werda,BW,73.18,broken clouds,-25.2667,23.2833,
