weather_data,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Duki,PK,30.1541,68.5728,78.78,14,35,3.58,scattered clouds
1,Provideniya,RU,64.3833,-173.3,31.84,89,100,15.82,overcast clouds
2,Kaeo,NZ,-35.1,173.7833,62.33,60,8,10.16,clear sky
3,Ushuaia,AR,-54.8,-68.3,38.86,70,0,2.3,clear sky
4,Sola,VU,-13.8833,167.55,83.07,84,75,0.0,broken clouds
5,Shimoda,JP,34.6667,138.95,62.96,78,100,14.7,overcast clouds
6,Zabol,AF,32.25,67.25,65.3,19,3,7.67,clear sky
7,Jiangyou,CN,31.7667,104.7167,67.05,69,100,2.28,overcast clouds
8,Albany,US,42.6001,-73.9662,39.54,84,56,1.97,broken clouds
9,Punta Arenas,CL,-53.15,-70.9167,41.11,70,14,8.05,few clouds
10,Jamestown,US,42.097,-79.2353,37.02,95,100,13.8,overcast clouds
11,Klaksvik,FO,62.2266,-6.589,43.72,66,67,5.97,broken clouds
12,Tevriz,RU,57.509,72.4042,43.54,70,100,7.72,overcast clouds
13,Carnarvon,AU,-24.8667,113.6333,74.32,63,0,13.47,clear sky
14,Faanui,PF,-16.4833,-151.75,77.38,79,29,10.22,light rain
15,Atar,MR,20.5169,-13.0499,83.1,15,44,7.58,scattered clouds
16,Aitape,PG,-3.1374,142.3475,84.07,72,90,4.65,light rain
17,College,US,64.8569,-147.8028,39.9,83,75,0.0,broken clouds
18,Trairi,BR,-3.2778,-39.2689,77.85,81,55,13.18,broken clouds
19,Manama,BH,26.2154,50.5832,89.58,55,0,2.3,clear sky
20,Mataura,NZ,-46.1927,168.8643,56.48,60,100,9.1,overcast clouds
21,San Miguel,SV,13.4833,-88.1833,78.46,100,20,2.3,few clouds
22,North Bend,US,43.4065,-124.2243,56.86,97,0,3.44,clear sky
23,Pangnirtung,CA,66.1451,-65.7125,13.73,80,4,9.33,clear sky
24,Barhi,IN,23.9,80.8,80.19,48,0,4.99,clear sky
25,Paamiut,GL,61.994,-49.6678,39.4,93,100,7.02,light rain
26,Vestmannaeyjar,IS,63.4427,-20.2734,44.64,75,100,14.41,overcast clouds
27,Kalmunai,LK,7.4167,81.8167,86.58,63,100,3.96,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,72.18,91,74,3.0,broken clouds
29,Harper,LR,4.375,-7.7169,75.79,88,99,4.59,light rain
